id,random ID,ResponseType,TrialNumber,Response,Group,Identifier,Points,prev_response,partner_id,partner_prev_response,partner_response,BC,DecisionType,Content,Size,Structure,Run
1,18842.0,hashtag,4,tsunami,8.0,h20s1,0.0,radiation,19.0,japansaveelectricity,saveelectricity,B,BN,Hashtag,20,Spatial,1
1,18842.0,hashtag,5,electricity,1.0,h20s1,0.0,tsunami,0.0,saveelectricity,radiation,B,BN,Hashtag,20,Spatial,1
1,18842.0,hashtag,6,electricity,4.0,h20s1,0.0,electricity,19.0,radiation,japannucleardisaster,C,RS,Hashtag,20,Spatial,1
1,18842.0,hashtag,7,disaster,7.0,h20s1,0.0,electricity,19.0,japannucleardisaster,japannucleardisaster,B,BN,Hashtag,20,Spatial,1
1,18842.0,hashtag,8,japannucleardisaster,6.0,h20s1,0.0,disaster,3.0,japannucleardisaster,irradiation,C,RP,Hashtag,20,Spatial,1
1,18842.0,hashtag,9,irradation,10.0,h20s1,0.0,japannucleardisaster,0.0,irradiation,nucleardisaster,B,BN,Hashtag,20,Spatial,1
1,18842.0,hashtag,10,nucleardisaster,10.0,h20s1,0.0,irradation,2.0,nucleardisaster,ocean,C,RP,Hashtag,20,Spatial,1
1,18842.0,hashtag,11,tsunami,4.0,h20s1,0.0,nucleardisaster,3.0,ocean,danger,C,EC,Hashtag,20,Spatial,1
1,18842.0,hashtag,12,tsunami,8.0,h20s1,1.0,tsunami,19.0,danger,tsunami,C,RS,Hashtag,20,Spatial,1
1,18842.0,hashtag,13,disaster,10.0,h20s1,0.0,tsunami,19.0,tsunami,earthquake,C,EC,Hashtag,20,Spatial,1
1,18842.0,hashtag,14,earthquake,8.0,h20s1,0.0,disaster,0.0,earthquake,tsunami,C,RP,Hashtag,20,Spatial,1
1,18842.0,hashtag,15,powerplant,1.0,h20s1,0.0,earthquake,3.0,tsunami,electricity,B,BN,Hashtag,20,Spatial,1
1,18842.0,hashtag,16,nuclear,6.0,h20s1,0.0,powerplant,19.0,electricity,nucleardisaster,C,EC,Hashtag,20,Spatial,1
1,18842.0,hashtag,17,nucleardisaster,7.0,h20s1,0.0,nuclear,2.0,nucleardisaster,earthquake,C,RP,Hashtag,20,Spatial,1
1,18842.0,hashtag,18,earthquake,6.0,h20s1,0.0,nucleardisaster,3.0,earthquake,radioactive,C,RP,Hashtag,20,Spatial,1
1,18842.0,hashtag,19,earthquake,3.0,h20s1,0.0,earthquake,0.0,radioactive,emergency,C,RS,Hashtag,20,Spatial,1
1,18842.0,hashtag,20,safety,8.0,h20s1,0.0,earthquake,0.0,emergency,earthquake,C,EC,Hashtag,20,Spatial,1
1,18842.0,hashtag,21,earthquake,10.0,h20s1,0.0,safety,2.0,earthquake,electricity,C,RP,Hashtag,20,Spatial,1
1,18842.0,hashtag,22,earthquaeke,8.0,h20s1,0.0,earthquake,0.0,electricity,nucleardisaster,B,BN,Hashtag,20,Spatial,1
1,18842.0,hashtag,23,radioactive,10.0,h20s1,0.0,earthquaeke,19.0,nucleardisaster,nucleardiasater,C,EC,Hashtag,20,Spatial,1
1,18842.0,hashtag,24,nuclear,6.0,h20s1,0.0,radioactive,0.0,nucleardiasater,tsunami,C,EC,Hashtag,20,Spatial,1
1,18842.0,hashtag,25,disaster,9.0,h20s1,0.0,nuclear,19.0,tsunami,nucleardiasater,C,EC,Hashtag,20,Spatial,1
1,18842.0,hashtag,26,earthquake,9.0,h20s1,0.0,disaster,2.0,nucleardiasater,cancer,C,EC,Hashtag,20,Spatial,1
1,18842.0,hashtag,27,publichealth,5.0,h20s1,0.0,earthquake,19.0,cancer,nucleardisaster,C,EC,Hashtag,20,Spatial,1
1,18842.0,hashtag,28,cancer,3.0,h20s1,0.0,publichealth,0.0,nucleardisaster,tsunami,C,EC,Hashtag,20,Spatial,1
1,18842.0,hashtag,29,earthquake,6.0,h20s1,0.0,cancer,3.0,tsunami,incident,C,EC,Hashtag,20,Spatial,1
1,18842.0,hashtag,30,death,5.0,h20s1,0.0,earthquake,19.0,incident,nucleardisaster,B,BN,Hashtag,20,Spatial,1
1,18842.0,hashtag,31,nuclear,9.0,h20s1,0.0,death,3.0,nucleardisaster,tsuanmi,C,EC,Hashtag,20,Spatial,1
1,18842.0,hashtag,32,nucleardisaster,2.0,h20s1,1.0,nuclear,19.0,tsuanmi,nucleardisaster,C,EC,Hashtag,20,Spatial,1
1,18842.0,hashtag,33,tsunami,2.0,h20s1,1.0,nucleardisaster,3.0,nucleardisaster,tsunami,C,EC,Hashtag,20,Spatial,1
1,18842.0,hashtag,34,earthquake,3.0,h20s1,0.0,tsunami,19.0,tsunami,nucleardisaster,C,EC,Hashtag,20,Spatial,1
1,18842.0,hashtag,35,earthquake,3.0,h20s1,0.0,earthquake,19.0,nucleardisaster,nucleardisaster,C,RS,Hashtag,20,Spatial,1
1,18842.0,hashtag,36,earthquake,3.0,h20s1,0.0,earthquake,3.0,nucleardisaster,incident,C,RS,Hashtag,20,Spatial,1
1,18842.0,hashtag,37,nucleardisaster,4.0,h20s1,1.0,earthquake,19.0,incident,nucleardisaster,C,EC,Hashtag,20,Spatial,1
1,18842.0,hashtag,38,radiation,7.0,h20s1,0.0,nucleardisaster,3.0,nucleardisaster,earthquake,C,EC,Hashtag,20,Spatial,1
1,18842.0,hashtag,39,radiation,1.0,h20s1,0.0,radiation,2.0,earthquake,earthquake,C,RS,Hashtag,20,Spatial,1
1,18842.0,hashtag,40,radiation,7.0,h20s1,0.0,radiation,0.0,earthquake,tsunami,C,RS,Hashtag,20,Spatial,1
2,49792.0,hashtag,1,disaster,7.0,h20s1,1.0,nan,4.0,,disaster,B,BN,Hashtag,20,Spatial,1
2,49792.0,hashtag,2,earthquake,9.0,h20s1,0.0,disaster,1.0,disaster,safety,B,BN,Hashtag,20,Spatial,1
2,49792.0,hashtag,3,safety,1.0,h20s1,0.0,earthquake,3.0,safety,tsunami,C,RP,Hashtag,20,Spatial,1
2,49792.0,hashtag,4,radiation,9.0,h20s1,0.0,safety,0.0,tsunami,saveenergy,B,BN,Hashtag,20,Spatial,1
2,49792.0,hashtag,5,emergency,2.0,h20s1,0.0,radiation,4.0,saveenergy,casualty,B,BN,Hashtag,20,Spatial,1
2,49792.0,hashtag,6,electricity,5.0,h20s1,0.0,emergency,3.0,casualty,energy,B,BN,Hashtag,20,Spatial,1
