RecordedDate,tweet1,hashtag1_1,hashtag1_2,hashtag1_3,hashtag1_4,hashtag1_5,hashtag1_6,hashtag1_7,hashtag1_8,hashtag1_9,hashtag1_10,tweet2,hashtag2_1,hashtag2_2,hashtag2_3,hashtag2_4,hashtag2_5,hashtag2_6,hashtag2_7,hashtag2_8,hashtag2_9,hashtag2_10,random ID
6/21/2024 13:38,"I've never prayed before the fukushima disaster. I grew up in an atheist household, but when this happened, i was so emotionally affected i decided to pray for japan. i was 11 at the time, but i look back on that as a bizarrely emotionally mature moment",#2011,#nuclear,#disaster,#insightful,#tragedy,#electricity,#cancer,#health,#crisis,#setsuden,a national disaster in japan led the entire country to reduce electricity usage for years upon years afterwards... i wish disasters in my countries could incite the same sense of responsibility among the population,#electricity,#environment,#2011,#disaster,#cooperation,#tragedy,#nuclear,#cancer,#reflection,#disappointed,22634
6/21/2024 13:50,"Nuclear disaster has far reaching consequences, both in time & distance. ",#earthquake,#nucleardisaster,#affectingbabygirls,#peopledisplaced,#preventingnucleardisasters,#farreachingeffects,#reachesCalifornia,#nuclearspill,#tsunami,#radioactive,Record breaking earthquake in Japan causes catastrophic Nuclear Disaster with far reaching & long lasting effects. From radioactive spills damaging the surrounding ecosystems; to tsunamis demolishing cities & towns and displacing many. See the preventative changes being taken.,#recordbreaking,#earthquake,#tsunami,#waves,#demolish,#radioactive,#farreaching,#California,#displacedpeople,#healthconsequences,98777
6/21/2024 13:40,"The Fukushima nuclear disaster back in 2011 is known to be one of the biggest natural disasters in history. There was an earth quake that triggered a tsunami that damaged a nuclear powerplant that was next to the sea and caused tons of radioactive waste to spread, affecting ",#nuclear,#radioactive,#disaster ,#tsunami ,#earthquake,#death,#danger,#rip,#powerplant,#radioactivity ,The Fukushima plant disaster was on of the biggest natural disasters in history. It was caused by an earthquake that caused a tsunami to form and hit the nuclear power plant. This made the water radioactive and is still affecting people today.,#disaster ,#powerplant,#nuclear,#radioactivity,#radioactive,#naturaldisaster,#restinpeace,#disaster,#tsunami ,#earthquake,20924
6/21/2024 13:43,"The dangers of Nuclear Power Plants. In 2011, Japan had an earthquake which triggered a tsunami which damaged their Nuclear Power plant. That, in turn, damaged the Pacific Ocean creatures with particles that had fallen into the ocean harming tons of wildlife and cr",#Nuclear can be dangerous,#Radioactive materials are deadly ,#Nuclear kills aquatic organisms,#Climate change is real,#Global Warming More Earthquakes,#global warming More Tsunamis,#Nuclear Power Plants are dangerous,#Nuke Nukes,#The Ocean dangers from nuclear,#Nuclear disaster Fukushima,"Nuclear Power Plants can be dangerous during Global Climate Events such as hurricanes, earthquakes, tornadoes, tsunamis and other weather events. If they are too close to an ocean, they can cause a lot of damage to the aquatic life and for future food and generations that drink",#Nuclear Disaster,#Cancer causing radioactive,#Nuclear fallout,#No nukes near oceans,#Thyroid cancer from nuclear,#Global warming = Nuclear damage,#Oceans need to be safe,#Japan Nuclear disaster,#Cancer from radioactive nuclear ,#Keep our oceans safe,99280
6/21/2024 13:39,OMG! Just heard what happened at Fukushima! Scary earthquake caused a nuclear disaster. Radioactive particles reaching as far as coast of Cali. At least Japan managed to decrease their energy con,#NuclearAwareness,#ReduceEnergyUse,#ThyroidCancerAwareness,#RememberFukushima,#NoToNuclear,#2011JapanEarthquake,#Setsuden,#LessEnergy,#ThinkOfEnvironment,#DonateToFukushima,"Wow anyone else hear about what happened in Fukushima, Japan? Big earthquake that led to nuclear disaster. Residents suffering from its effects, and fallout reaching as far as Cali! Japan is doing their best efforts by reducing energy consumption. Very commendable!",#FukushimaDisaster,#NuclearDisaster,#Setsuden,#ReduceEnergyConsumption,#JapanEarthquake,#CancerAwareness,#ThyroidCancerAwareness,#HelpFukushima,#NuclearAwareness,#NoMoreNuclear,91797
6/21/2024 13:49,The Fukushima dister was crazy! I can't believe all the horrible stuff people went through. Japan had a whole movement afterwards where they had to save power.,#tragedy,#disaster,#compassion,#storm,#energy,#ruined,#time,#prayforjapan,#earthquake,#tsunami,"The Fukushima nuclear accident was terrifying. Reading about it still makes my stomach turn. How horrifying for those involved, and imagine getting cancer from the radiation. Praying for the survivors.",#prayforjapan,#ourneighbors,#hopeful,#healing,#together,#united,#radioactive,#tsunami,#NISA,#chernobyl,78383
6/21/2024 13:39,Fukushima nuclear disaster was a horrible event that shook the country. ,#Nuclear,#Nucleardisaster ,#2011earthquake,#2011japan ,#2011fukushima,#radioactive2011,#2011aftershock,#2011disaster ,#march112011,#Pacific2011,A lot of devastation that occurred after the earthquake in Japan. ,#Japanremembers,#Japan2011,#Hukushima2011,#Aftershock2011,#NuclearDevestation,#Nucleardisastar2011,#Crisis2011,#JapanAftershock,#JapanNuclear,#NuclearAftershock,44184
6/21/2024 13:40,Setsuden movement plans to save survivors of the Fukushima nuclear disaster ,#Setsuden,#Daiichi,#DaiichiPower,#DaiichiPowerPlant,#Setsuden2Survival,#Fukushimafallout,#FukushimaSurvivors,#FukushimaSurvival,#MarchEleven,#SetsudenJapan,Energy saving activists come up with plan to help survivors of March 11th Fukushima disaster.,#Fukushimafallout,#FukushimaSurvivors,#FukushimaSurvival,#MarchEleven,#March11Survivors,#CleanEnergy,#GreenEnergy,#NuclearSurvivors,#FukushimaPowerPlant,#FukushimaDisaster,20019
6/21/2024 13:43,The Fukushima Daiichi Nuclear Power Plant disaster in 2011 has had lasting effects both positive and negative. Baby girls exposed to the radiation have a higher chance of developing thyroid cancer. ,#fukushimadaiichi,#nuclearpowerdisaster,#tsunamieffects,#japaneseenergy,#thyroidcancer,#japanesebabygirls,#radiationexposure,#setsudan,#tohakuearthquake,#radioactiveparticles,"The Fukushima Daiichi disaster in 2011 has had lasting effects. It has been reported that infant girls exposed to the radiation are more 70% more likely to develop thyroid cancer. On the positive side, it inspired a reduction in energy consumption in Japan.",#fukushimadaiichi,#TsunamiDisaster,#Japanesebabygirls,#thyroidcancer,#setsudan,#energyconsumption,#fukushimadaiichieffects,#nuclearpowerplantdisaster,#radiationexposure,#JapaneseTsunami,12936
6/21/2024 13:40,"I think this nuclear disaster was a difficult time for Japan, and I wish them the best.",#nuclear,#disaster,#terrible,#earthquack,#accident,#incident,#tsunami,#wave,#ocean,#harmful,I think that it's terrible what happened in Japan and I don't think it should be happening anywhere.,#terrible,#sad,#earthquack,#tsunami,#ocean,#water,#donate,#help,#bad,#waves,86870
