RecordedDate,tweet1,hashtag1_1,hashtag1_2,hashtag1_3,hashtag1_4,hashtag1_5,hashtag1_6,hashtag1_7,hashtag1_8,hashtag1_9,hashtag1_10,tweet2,hashtag2_1,hashtag2_2,hashtag2_3,hashtag2_4,hashtag2_5,hashtag2_6,hashtag2_7,hashtag2_8,hashtag2_9,hashtag2_10,random ID
4/24/2024 12:01,"On 3/11/2011, the massive Tōhoku earthquake in Japan triggered a tsunami that caused devastating damage to a nuclear power plant.",#earthquake,#tsunami,#reactor ,#setsuden,#disaster,#powerplant,#SAVEpower,#energyconsumption,#WHO,#Daiichi,Large earthquake on 3/11/2011 triggered a series of events that caused Japan to need to ration power. ,#disaster,#nuclear,#earthquake,#tsunami,#helpvictims,#savepower,#naturaldisaster,#march11,#radiationdanger,#tsunamisurvivors,81725
4/24/2024 12:01,This was a horrible disaster.  The only good thing to come out of it was that people realized  how important it is to conserve electricity.  Maybe it will lead to better lives for everyone.  Just say NO to nuclear power.  Need solar and wind power.,#conservation,#nomorenuclearpower,#globalwarming,#helpthevictims,#learntoconserve,#changetheworld,#disaster,#nucleardisaster,#livebetter,#windandsolarpower,"Sorry for the disaster.  Hopefully, we will learn to deal with global warming in a better way.  We need to do better.",#nuclear,#disaster,#horror,#global,#warming,#nuclear,#disaster,#sun,#wind,#energy,24296
4/24/2024 12:09,"The fukushima nuclear disaster was one of mankind's worst events having the most powerful record-breaking earthquake striking. It caused tsunami waves up to 130 feet tall, with 45 foot tall waves. The impact was so serve it destroyed the nuclear plant. ",#disaster ,#relief,#tsunami,#earthquakefund,#fukshamani,#fundrelief,#naturaldiaster,#helpearth,#peoplefunds,#earthhelpfundrelief,Japan suffered one of the most devastating events in mankind's history. An earthquake struck and destroyed their nuclear power plant.  ,#earthquake,#nuclercrisis,#nuclearaccident,#naturaldisaster,#crisis,#nucleardisaster,#helppeoplefund,#disasterfund,#earthquakestrikes,#earthquakefunds,45846
4/24/2024 12:08,What's up with Fukushima today and is it safe for people to live there?,#nuclear ,#disaster,#accident,#thyroid,#japanese,#cancer,#earthquake,#WHO,#radioactive,#setsuden,"The Fukushima Daiichi Nuclear Power Plant accident 

",nuclearaccident,#nucleardisaster,#tsunami,#radiation,#disaster,#earthquake,#radioactive,#deathtoll,#thyroidcancer,#Japandisaster,12767
4/24/2024 12:02,"My heart goes out to the People of Fukushima and the people of Japan as a whole. This tragedy will have far reaching implications for the future and will drastically change the world. I hope we can learn from the event and the incidents that lead to it. 
#Fukushima#nuclear#earth",#Helptheworld,#Earthquake,#worldpeace,#Environment,#nuclear,#tsunami,#globalpolitics,#pacificocean,#setsuden,#radiationexposure,"My heart goes out to the people in Fukushima, Japan as they have endured a terrible disaster. A record setting earthquake has caused the nuclear power plant to spew radiation into the water. This is an event that will forever change the environment and the world. ",#nuclear,#nucleardisaster,#tsunami,#earthquake,#powerplant,#thepeopleofJapan,#environmentaldisaster,#radiaton,#oceanpollution,#nuclearincident,65116
4/24/2024 12:01,This disaster was a terrible crisis and its effects are still felt today. We need to plan for the worst when creating facilities like a nuclear power plant that has the potential to cause great harm.,#crisis,#humaritarian,#regulations,#earthquake,#tsunami,#morePlanningNeeded,#displacement,#lastingEffects,#nuclearDisaster,#radioactive,"The global disaster in Japan is still affecting citizens today, both locally and around the world. We need to be better prepared for disasters, especially when working with dangerous nuclear materials.",#nuclear,#disaster,#crisis,#lastingEffects,#consequences,#globaldisaster,#tsunami,#displacement,#moreRegulations,#earthquake,41895
4/24/2024 12:01,The Fukushima nuclear disaster that happened in 2011 is still affecting people to this day. The effects are higher in girls local to the main area where the event occurred. The effects even reached as far as the California coast.,#2011,#nuclear,#energy,#powerplant,#cancer,#disaster,#tidalwaves,#real,#radioactive,#ocean,Fukushima disaster in 2011 was a major event. The results of the event produced an earthquake and tsunami. Its effects have been seen in the ocean as far as California. It has also had devastating effects on the health of many people.,#tsunami,#nuclearevent,#nucleardisaster,#tidalwaves,#thyroidcancer,#oceanpollution,#nuclearzones,#nuclearcleanup,#earthquake,#nucleareffects,83368
4/24/2024 12:03,"Fukushima nuclear disaster was a 2011 nuclear accident. This accident was very scary and it happened because of the Tohoku earthquake on March 11, 2011. The date that this event happened",#earthquake,#FukushimaNuclear,#TohokuEarthquake,#Damage,#Disaster,#EnergyShortage,#Radiation,#DramaticDecrease,#Japandisaster,#PowerfulEathquake,"The Fukushima Nuclear 2011 disaster was a very scary event for every individual who experienced about it. The cause of this disaster was the Tohoku earthquake on March 11, 2011.",#Earthquake,#Disaster,#nuclear,#nuclearpower,#disasterevent,#radioacive,#exclusionzone,#Nuclearpowerplant,#tsunami,#energyconsumption,83438
4/24/2024 12:02,The 2011 nuclear accident in Fukushima caused so much damage and even an earthquake. Radioactive material was found all the way to the California coast. This event caused a movement to begin called Sutseudne,#Japanueclearaccident,#radioactive,#fukushimajapanpowerplant,#tsunamiinjapan,#nuecleardisaster,#japansnuecleardisaster,#2011nucleardisaster,#japannueclearpoweplant,#radioactivematertial,#tohokuearthquake,"In 2011 in Fukushima, Japan a nuclear disaster occurred and resulted in radioactive material around the area. Including all the way to the Pacific Ocean and coast of California. Young girls born during this time can experience thyroid cancer because of this disaster.",#fukushimajapandisaster2011,#nucleardisaster,#earthquakejapan,#tsunamijapan,#thyroidcancer,#japannuecleardidaster,#tsunami,#nuclearpowerplant,#tsunamiearthquake,#japannucleardisaster,37106
4/24/2024 12:00,"A tragic disaster happened in Japan. Over 100,000 people have suffered as the result of the most powerful earthquake to happen in Japan damaging and causing an accident at a nuclear power plant ",#disaster,#earthquake,#support,#loss,#tradgedy,#prayers,#cope,#recovery,#accident,#tragic,There was a huge tragedy that affected a large population in Japan. The earthquake caused a tsunami which caused major damage and issues to a nuclear power plant,#loss,#tragedy,#natualdisaster,#disasterrelief,#victims,#survivors,#toxic,#nuclear,#nuclearvictims,#harm,61525
4/24/2024 12:02,"If the Fukushima nuclear disaster has taught us anything, it is that we need to find an alternative to nuclear energy! #fukushima #Fukushimanucleardisaster #nuclearpower #earthquake ",#nuclearpower,#energyconservation,#greenenergy,#tsunami,#globalwarming,#saveouroceans ,#radioactivewaste,#environmentalism,#nucleardisaster,#climatechange,"The Fukushima disaster was SO TERRIBLE!  Nuclear energy has it's pros and cons but I think the cons far outweigh the pros. We much move towards cleaner, safe energy for all.  ",#nuclear,#nuclearenergy,#nucleardisaster,#climatechange,#cleanenergy,#powerplant,#globalwarming,#saveouroceans,#fukushimanucleardisaster,#greenenergy,48149
4/24/2024 12:03,A nearly fatal nuclear disaster. Many people deeply affected. The lasting results for years.,#Disaster devistates many.,#lonh range effects.,#Many particles in air.,#2011 devistates many.,#Powerful crumbeling,#Long lasting radio active,#Cancercausing for many,#Polluted waters and land,#Evacuated for long term,#earthtquake displacement dramatic,Devastating earthquake and tsunami. Thousands of people effected. The devastation will last for years to come. Thousands dead.,#earthquake,#tsunami,#cancer,#dead,#missing,#2011,#injuries,#evacuated,#nuclear,#accident,20083
4/24/2024 12:01,"Nuclear power plants can be dangerous and lead to unintentional radioactive spills. Look up the Fukushima nuclear disaster in 2011 caused by tsunami
#nuclearpower
#fukushima
#cleanenergy
#staysafe
#",#nuclearpower,#cleanenergy,#nucleardisaster,#radioactive,#tsunami,#meltdown,#danger,#environment,#protectourplanet,#reducenuclear,"Earthquake caused tsunami in Fukushima, 2011. Nuclear power plant experienced leak of radioactive waste, causing contamination in the water as far away as Cali.",#nuclear,#radioactive,#energyspill,#nuclearwaste,#radioactivewaste,environmentcleanup,#protectenvironment,#nuclearpower,#cleanenergy,#saveelectricity,68186
