RecordedDate,tweet1,hashtag1_1,hashtag1_2,hashtag1_3,hashtag1_4,hashtag1_5,hashtag1_6,hashtag1_7,hashtag1_8,hashtag1_9,hashtag1_10,tweet2,hashtag2_1,hashtag2_2,hashtag2_3,hashtag2_4,hashtag2_5,hashtag2_6,hashtag2_7,hashtag2_8,hashtag2_9,hashtag2_10,random ID
5/1/2024 11:36,"#Fukushima was a lesson for all of us, we need to conserve our #energy and be sure to be #safe with #nuclearpower",#safety,#nuclear,#power,#conserve,#energy,#tsunami,#mindful,#planet,#earth,#disaster,Fukushima #naturaldisaster is a lesson to all in #energy #conservation. The #tsunamis that followed were devastating and the loss of life is quite unfortunate. #radiation is not to be played with.,#radiation,#tsunami,#disaster,#naturaldisaster,#conservation,#energy,#life,#radiation,#nuclear,#setsuden,95486
5/1/2024 11:37,Taking some time to remember the Fukushima nuclear disaster in 2011 that caused catastrophic damage to Japan. So tragic. #Fukushima #NuclearDisaster #tsunami #Japan #disaster #nuclear,#Fukushima,#NuclearDisaster,#Disaster,#Tsunami,#Japan,#Rememberance,#ThyroidCancer,#NuclearPollution,#SeaPollution,#NuclearDisasterWildlife,Taking a moment to remember the Fukushima disaster and the lives that were and will be affected for years to come.,#earthquake,#disaster,#energy,#sea,#Energeysaving,#nucleardisaster,#nuclearpollution,#tsunami,#thyroid,#cancer,19375
5/1/2024 11:48,The nuclear disaster and earthquake at the Daiichi Nuclear Power Plant deserves to have more exposure!,#Nuclear,#Daiichi,#Fukushima,#Tohoku,#Disaster,#Setsuden,#Radiation,#Tsunami,#SaveElectricity,#StopTsunamis,"The nuclear disaster at Fukushima is ridiculous, and not talked about enough. We need to do better.",#Daiichi,#NuclearPower,#RegulateNuclear,#TohokuEarthquake,#StopTsunamis,#CleanEnergy,#ProtectTheSea,#NuclearDisaster,#NuclearCancer,#Setsuden,18038
5/1/2024 11:50,"wow, what a sad day for the japanese. What a sad event for several families. i hope they find peace and are able to make up for their loses. This might even turn to be a storm ",#crazytsunami,#massiveloss,#100-footexclusionzone,#hopepeaceisfound,#2011tsunami,#nucleardisaster,daiichinuclearpower,#radioactiveparticles ,#tallwaves,#130ftwave,"oh wow, what a sad day for japan. So many losses. I hope the people affected find solace and their losses are somehow made up for. I hope the event does not leave a post traumatic symptom disorder of some sort  in the mind of the affected people, and i hope they get over it......",#tallwaves,#massiveloss,#2011waves,#crazytsunami,#2011earthquake,#130feettalltsunami,#nuclearpowerplant2011,#radioactiveisotpedischarge2011,#nucleardisaster,#nucleardisaster2011,75944
5/1/2024 11:37,The Fukushima nuclear disaster was caused by a tsunami triggered by an earthquake. Many people were displaced and the effects of the radiation were severe. #disaster #nuclear,#nuclear,#disaster ,#displacment,#tsunami,#earthquake,#radiation,#nationalmovement,#exclusionzone,#WHO,#saveelectricity,The Fukushima nuclear disaster was caused by an earthquake tsunami that led to the reactors meltdown. Many people were displaced and the environmental factors were severe.,#Nuclear,#Tsunami,#Earthquake,#NuclearDisaster,#Disaster,#Enviroment,#Radiation,#PacificOcean,#Meltdown,#Displacement,94576
5/1/2024 11:39,"2011 Fukushima disaster: Earthquake, tsunami crippled power plant, radiation leak forced evacuations & health concerns. It also sparked Japan's Setsuden movement to save electricity & government energy-saving policies #NuclearSafety #EnergySecurity #Japan #Setsuden",#NuclearCrisis,#Crisis,#Nuclear,#Setudsen,#radioactive,#energyshortage,#exclusionzone,#Daiichi,#Tohoku,#E,"2011 earthquake & tsunami crippled Fukushima's Daiichi plant, causing ☢️leak & evacuations. Yet, it sparked Japan's #Setsuden movement to save electricity. #NuclearDisaster #Resilience",#NuclearDisaster,#FukushimaDaiichi ,#RadiationEvacuation,#PublicHealthCrisis,#SetsudenMovement,#EnergyConservation,#NuclearSafety,#EnvironmentalImpact,#CitizenResponse,#JapanEarthquake,33781
5/1/2024 11:39,The world most dangerous natural disaster that harms a country with full of it dangerous face. It damage the most sensitive neu clear power point that will damage the local and more area of the sea and natural environment also. ,#Natural Disaster ,#Safety,#Environment ,#Sea pollution ,#damage ,#warning ,#response ,#conscious ,#careful ,#neu clear safety ,The earth understand the most dangerous natural disaster and the damage of a modern nuclear power point that occurs the most dangerous natural hazard,#tsunami,#naturaldisaster,#naturalhazard,#nuclear,#safety,#cancer ,#public health,#security ,#electricity ,#damage ,30620
5/1/2024 11:43,"""The Fukushima nuclear disaster in 2011, triggered by a powerful earthquake and tsunami, led to a 100-foot exclusion zone, displacing thousands and sparking a national movement for energy conservation. #Fukushima #nucleardisaster #earthquake #tsunami #energyconservation #Japan""",#NuclearDisaster,#Earthquake,#TsunamiDamage,#RadiationRisk,#ThyroidCancer,#EnergySavingMovement,#Displacement,#FukushimaCrisis,#EnvironmentalImpact,#DisasterRecovery,The Fukushima disaster shows how bad things can get when earthquakes hit nuclear plants. Let's focus on safety and avoid repeating such tragedies. #SafetyFirst #LearnFromMistakes #PreventDisasters #RenewableEnergy,#SafetyFirst,#LearnFromMistakes,#PreventDisasters,#RenewableEnergy,#Tsunami,#EnvironmentalImpact,#DisasterPrevention,#RenewableEnergy,#FukushimaDisaster,#SafetyMeasures,50626
5/1/2024 11:35,"Nuclear Power plants can cause catastrophic disasters that last for years
#nonukes #tsunami #disaster",#nonukes,#tsunami,#disastor,#nukeskill,#nukescausecancer,#nuclearfail,#nukesandnature,#naturaldisastors,#nuclearpower,#japannuclear,"Nuclear power isn't always what it is cracked up to be, 2011 Japan disaster impacted 156,000 people",#cancersucks,#oceandisaster,#tsunami,#setsuden,#earthquake,#nonukes,#nucleardisaster,#earthquakedisaster,#tsunamidisaster,#bannuclearpower,95224
5/1/2024 11:39,"The destruction that the Tōhoku earthquake caused was catastrophic for Japan. The tsunami leveling everything in it's path, including the Fukushima nuclear power plant. This has causedeven more destruction with the radiation in the area contaminating everything",##Earthquake,Tsunami,#PowerPlant,#Radiation,#Cancer,#Destruction,#Rebuild,#Hope,#UniteforJapan,#Help,"The most powerful earthquake to ever hit Japan caused a tsunami that devastated the north eastern coast. 130 foot high waves leveled everything in their wake, including the Fukushima power plant. The damage to the plant caused radiation to leak to the surrounding area and ocean.",#Earthquake,#Tsunami,#Radiation,#Cancer,#Thyroid,#Destruction,#Rebuild,#Hope,#Cleanup,#Ocean,54463
