,Trial,Experimental Homogeneous Hashtag,Centola Homogeneous Hashtag,CAA Homogeneous Hashtag,Experimental Spatial Hashtag,Centola Spatial Hashtag,CAA Spatial Hashtag,Experimental Homogeneous Face,Centola Homogeneous Face,CAA Homogeneous Face,Experimental Spatial Face,Centola Spatial Face,CAA Spatial Face
1,1,0.759517788133792,0.9648093528714395,0.7895867484080741,0.7784116921120781,0.9625862754739097,0.796011002600525,0.8968784918139535,0.9616457811605256,0.8984963934848714,0.9200126674719048,0.9597602477687172,0.8993698940870287
2,2,0.7641287201528737,0.9637071285536084,0.788639854629561,0.780197873885942,0.9639438731879796,0.7890496257199925,0.8587229412092497,0.9626941200930399,0.8586657298083654,0.8566546669029246,0.9601894096999416,0.8565616705767211
3,3,0.7500884105847706,0.894378384120038,0.7854012866818821,0.8192904273944891,0.8879202770139701,0.7831690323465724,0.8539577498556246,0.8944171487663403,0.830266073221427,0.848658701335899,0.8881761205961601,0.8318257745918839
4,4,0.7953476308765687,0.8363141591860186,0.7797215779815342,0.8244646362463346,0.8371728452362128,0.7790485949708053,0.8530324527077747,0.8423755015386996,0.8072641856896413,0.8277522196634027,0.8376809560965701,0.8021099576164441
5,5,0.8237733908082646,0.8003905532071447,0.77177883886101,0.821138196399594,0.7943991054137198,0.7753584039066544,0.8300614757524026,0.8021027577094584,0.780374505788174,0.8136863754874059,0.7974422302035297,0.7799933432062055
6,6,0.8150641280322025,0.7693295028588932,0.7727586118612386,0.8183840122230019,0.7517525801617521,0.7659627746756001,0.8096914669462295,0.7671248641868834,0.7606348895939861,0.7636840858828831,0.7549849471076493,0.7583673079026713
7,7,0.8010824790388448,0.742246286900089,0.7633270379917291,0.8133819861847547,0.720036853779689,0.7615563400072151,0.8027141825317963,0.7483114606264626,0.7384138788326178,0.7423378470126694,0.720381366813807,0.7304465076049403
8,8,0.790843126704727,0.7112880841974273,0.7550499513744235,0.811525671005264,0.6969329260582977,0.7578472637220942,0.7907257878681057,0.7224129597130028,0.7211463512811542,0.716760529638999,0.6959511254592857,0.7125674779072863
9,9,0.7733567105178561,0.6944846161678682,0.7500409651490763,0.820797529906021,0.6702816208458263,0.7413671868816146,0.7766403232690511,0.6953521107305793,0.7050934598827133,0.7001482784347121,0.6659824737234724,0.697669258079816
10,10,0.7709255787451672,0.6719424826471468,0.7421059475270081,0.8260378823677307,0.6418636486597904,0.7305318888571457,0.7091304135915091,0.6695187504682469,0.6903176308409905,0.6715206466965357,0.6409034663176911,0.6815323963153698
11,11,0.7833801215348004,0.6351268184490304,0.7332765103947217,0.8012243607829047,0.618332941466083,0.7245527424858423,0.7058550542378694,0.6397884313996155,0.6731716412775174,0.688452288001537,0.6170231273448887,0.6648505849079934
12,12,0.7666126594421457,0.6178134771445051,0.7268522971943793,0.7931646732813971,0.5966836442181337,0.7220983083620988,0.7101771714625874,0.6104153743427791,0.658894715148792,0.6784134633057937,0.5938005621078123,0.6539718969365252
13,13,0.7551251259483125,0.589815082410345,0.7180674056331326,0.7669062923483791,0.5760438199249626,0.7083804557970237,0.6887531397127793,0.5866369017175314,0.6398966358693152,0.6595294757773621,0.5766191463178241,0.6444747184223715
14,14,0.752516847395623,0.5567119776714804,0.7116632773111131,0.7674728515270864,0.5640899653894702,0.6975882918832493,0.6602802989742148,0.5555837258860444,0.6263893528895907,0.6642715006667974,0.5572780189255138,0.6283955219346086
15,15,0.7309648346706625,0.5280321193656375,0.7016032050350158,0.7579316378440153,0.5467235319299742,0.6852984317662836,0.6854264025855915,0.5259853329636985,0.6086879816768301,0.6248822464336373,0.5408857332440575,0.6213524135114319
16,16,0.7128442644934773,0.49661794757942784,0.6924031819346068,0.7444692007323701,0.5371310927517814,0.6829429471681153,0.6492317330539605,0.4947361083714338,0.5918058689243074,0.6366658293455335,0.5292434252122767,0.6146768081689352
17,17,0.6995002150031525,0.4657571683636079,0.6866836652457654,0.7380957615708276,0.5215515238298285,0.6756692146895783,0.5920632892512045,0.46726638884911864,0.576310399115571,0.6344977026694288,0.5134759793362619,0.6069838472407504
18,18,0.689668064042685,0.43513749171787397,0.6762183724759138,0.7559209553479599,0.5112221839729725,0.6670153374105235,0.5674611678168681,0.4379315078366384,0.5621692993987838,0.6067688461753092,0.4989808934246102,0.6012270252284546
19,19,0.653340532081185,0.4101293762025294,0.6701053826620245,0.7426839740624186,0.4943461579694054,0.665035720158097,0.5693101158424645,0.4144679028064395,0.5474410827029363,0.6036320843892474,0.4908297420577399,0.5957666315937105
20,20,0.613914257827065,0.3894335323394046,0.6635686422854357,0.6960149177663054,0.4821129006555809,0.6527555601108977,0.5124341350905134,0.38495595242712854,0.5324429973104701,0.6076890302602057,0.4802530478191291,0.589026526068993
21,21,0.645248144111437,0.3613203092838601,0.6549923199744221,0.6763203486782052,0.47328080084517055,0.6381822794336752,0.5076656394580531,0.36093750981450584,0.5202394880753283,0.5944232299221365,0.4702089225769799,0.5845299038048501
22,22,0.6130769567289601,0.3359672646774313,0.6428027144303499,0.6777462766546788,0.45838499395993887,0.6340725916383663,0.5168704246144742,0.34213084470637334,0.5122970502787669,0.6061983545669859,0.45889007001037085,0.5803555655107706
23,23,0.5697776304467445,0.31475873472642246,0.628246183452581,0.6951267053065003,0.4477726629733582,0.629748365742692,0.4928154724870544,0.3120882664253603,0.49699060055693167,0.6067859464217238,0.4509357467608397,0.5777479279924042
24,24,0.6184048504471883,0.2861538205905882,0.6227206585403106,0.7248194733482175,0.4409865224706124,0.6241932774438272,0.4656115336520327,0.2903135579364037,0.4867032460725872,0.5896234581091223,0.44107037384055126,0.5740259486610503
25,25,0.5951185038142602,0.26171576817996994,0.6083731423341496,0.7129308460643966,0.434323334134047,0.617682102953896,0.4573290777901083,0.2722071278316153,0.469685189038262,0.5935064985569884,0.42966391848965685,0.5677646764079599
26,26,0.5509216027701692,0.24177427685804154,0.6002500515484879,0.6617364935981176,0.42599804360964066,0.6175748699814355,0.4163863019670934,0.2484482305021202,0.46045342983243714,0.5925282522123384,0.42127159314443824,0.5659101085277249
27,27,0.5250452327655973,0.2171160083269042,0.5885109135254115,0.6433922569893015,0.4181051906390826,0.6076989097439326,0.367298821154026,0.22584430103333503,0.44838653608720525,0.5734649751505865,0.41527552894593406,0.5629241314929324
