id,random ID,ResponseType,TrialNumber,Response,Group,Points,prev_response,partner_id,partner_prev_response,partner_response,old_decisiontype,BC,DecisionType,Identifier,Content,Size,Structure,Run
1,18842.0,hashtag,2,safety,9.0,0.0,publichealth,2.0,nuclear,earthquake,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,3,radiation,10.0,0.0,safety,19.0,earthquake,japansaveelectricity,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,4,tsunami,8.0,0.0,radiation,19.0,japansaveelectricity,saveelectricity,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,5,electricity,1.0,0.0,tsunami,0.0,saveelectricity,radiation,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,6,electricity,4.0,0.0,electricity,19.0,radiation,japannucleardisaster,RS,C,RS,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,7,disaster,7.0,0.0,electricity,19.0,japannucleardisaster,japannucleardisaster,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,8,japannucleardisaster,6.0,0.0,disaster,3.0,japannucleardisaster,irradiation,RP,C,RP,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,9,irradation,10.0,0.0,japannucleardisaster,0.0,irradiation,nucleardisaster,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,10,nucleardisaster,10.0,0.0,irradation,2.0,nucleardisaster,ocean,RP,C,RP,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,11,tsunami,4.0,0.0,nucleardisaster,3.0,ocean,danger,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,12,tsunami,8.0,1.0,tsunami,19.0,danger,tsunami,RS,C,RS,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,13,disaster,10.0,0.0,tsunami,19.0,tsunami,earthquake,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,14,earthquake,8.0,0.0,disaster,0.0,earthquake,tsunami,RP,C,RP,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,15,powerplant,1.0,0.0,earthquake,3.0,tsunami,electricity,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,16,nuclear,6.0,0.0,powerplant,19.0,electricity,nucleardisaster,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,17,nucleardisaster,7.0,0.0,nuclear,2.0,nucleardisaster,earthquake,RP,C,RP,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,18,earthquake,6.0,0.0,nucleardisaster,3.0,earthquake,radioactive,RP,C,RP,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,19,earthquake,3.0,0.0,earthquake,0.0,radioactive,emergency,RS,C,RS,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,20,safety,8.0,0.0,earthquake,0.0,emergency,earthquake,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,21,earthquake,10.0,0.0,safety,2.0,earthquake,electricity,RP,C,RP,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,22,earthquaeke,8.0,0.0,earthquake,0.0,electricity,nucleardisaster,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,23,radioactive,10.0,0.0,earthquaeke,19.0,nucleardisaster,nucleardiasater,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,24,nuclear,6.0,0.0,radioactive,0.0,nucleardiasater,tsunami,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,25,disaster,9.0,0.0,nuclear,19.0,tsunami,nucleardiasater,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,26,earthquake,9.0,0.0,disaster,2.0,nucleardiasater,cancer,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,27,publichealth,5.0,0.0,earthquake,19.0,cancer,nucleardisaster,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,28,cancer,3.0,0.0,publichealth,0.0,nucleardisaster,tsunami,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,29,earthquake,6.0,0.0,cancer,3.0,tsunami,incident,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,30,death,5.0,0.0,earthquake,19.0,incident,nucleardisaster,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,31,nuclear,9.0,0.0,death,3.0,nucleardisaster,tsuanmi,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,32,nucleardisaster,2.0,1.0,nuclear,19.0,tsuanmi,nucleardisaster,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,33,tsunami,2.0,1.0,nucleardisaster,3.0,nucleardisaster,tsunami,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,34,earthquake,3.0,0.0,tsunami,19.0,tsunami,nucleardisaster,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,35,earthquake,3.0,0.0,earthquake,19.0,nucleardisaster,nucleardisaster,RS,C,RS,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,36,earthquake,3.0,0.0,earthquake,3.0,nucleardisaster,incident,RS,C,RS,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,37,nucleardisaster,4.0,1.0,earthquake,19.0,incident,nucleardisaster,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,38,radiation,7.0,0.0,nucleardisaster,3.0,nucleardisaster,earthquake,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,39,radiation,1.0,0.0,radiation,2.0,earthquake,earthquake,RS,C,RS,h20s1,Hashtag,20,Spatial,1
1,18842.0,hashtag,40,radiation,7.0,0.0,radiation,0.0,earthquake,tsunami,RS,C,RS,h20s1,Hashtag,20,Spatial,1
2,49792.0,hashtag,1,disaster,7.0,1.0,nan,4.0,,disaster,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
2,49792.0,hashtag,2,earthquake,9.0,0.0,disaster,1.0,disaster,safety,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
2,49792.0,hashtag,3,safety,1.0,0.0,earthquake,3.0,safety,tsunami,RP,C,RP,h20s1,Hashtag,20,Spatial,1
2,49792.0,hashtag,4,radiation,9.0,0.0,safety,0.0,tsunami,saveenergy,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
2,49792.0,hashtag,5,emergency,2.0,0.0,radiation,4.0,saveenergy,casualty,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
2,49792.0,hashtag,6,electricity,5.0,0.0,emergency,3.0,casualty,energy,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
2,49792.0,hashtag,7,tsunami,8.0,0.0,electricity,4.0,energy,leakage,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
2,49792.0,hashtag,8,setsuden,7.0,0.0,tsunami,4.0,leakage,accident,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
2,49792.0,hashtag,9,danger,1.0,0.0,setsuden,4.0,accident,2011,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
2,49792.0,hashtag,10,ocean,10.0,0.0,danger,1.0,2011,nucleardisaster,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
2,49792.0,hashtag,11,thyroidcancer,5.0,0.0,ocean,4.0,nucleardisaster,ocean,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
2,49792.0,hashtag,12,oceanwaste,9.0,0.0,thyroidcancer,3.0,ocean,earthquake,NEW,B,BN,h20s1,Hashtag,20,Spatial,1
2,49792.0,hashtag,13,radiation,1.0,0.0,oceanwaste,4.0,earthquake,energy,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
2,49792.0,hashtag,14,saveenergy,9.0,0.0,radiation,4.0,energy,energy,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
2,49792.0,hashtag,15,disaster,10.0,0.0,saveenergy,0.0,energy,tsunami,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
2,49792.0,hashtag,16,tsunami,7.0,0.0,disaster,4.0,tsunami,energy,RP,C,RP,h20s1,Hashtag,20,Spatial,1
2,49792.0,hashtag,17,earthquake,7.0,0.0,tsunami,1.0,energy,nucleardisaster,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
2,49792.0,hashtag,18,emergency,5.0,0.0,earthquake,0.0,nucleardisaster,disaster,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
2,49792.0,hashtag,19,safety,4.0,0.0,emergency,3.0,disaster,tsunami,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
2,49792.0,hashtag,20,earthquake,9.0,0.0,safety,3.0,tsunami,safety,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
2,49792.0,hashtag,21,electricity,10.0,0.0,earthquake,1.0,safety,earthquake,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
2,49792.0,hashtag,22,tsunami,9.0,0.0,electricity,3.0,earthquake,island,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
2,49792.0,hashtag,23,radiation,1.0,0.0,tsunami,4.0,island,tsunami,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
2,49792.0,hashtag,24,energy,7.0,0.0,radiation,4.0,tsunami,cancer,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
2,49792.0,hashtag,25,disaster,10.0,0.0,energy,4.0,cancer,radiation,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
2,49792.0,hashtag,26,cancer,9.0,0.0,disaster,1.0,radiation,earthquake,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
2,49792.0,hashtag,27,tsunami,6.0,0.0,cancer,3.0,earthquake,power,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
2,49792.0,hashtag,28,tsunami,4.0,0.0,tsunami,4.0,power,radiation,RS,C,RS,h20s1,Hashtag,20,Spatial,1
2,49792.0,hashtag,29,tsunami,5.0,0.0,tsunami,0.0,radiation,cancer,RS,C,RS,h20s1,Hashtag,20,Spatial,1
2,49792.0,hashtag,30,tsunami,6.0,1.0,tsunami,4.0,cancer,tsunami,RS,C,RS,h20s1,Hashtag,20,Spatial,1
2,49792.0,hashtag,31,energy,8.0,0.0,tsunami,0.0,tsunami,nucleardisaster,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
2,49792.0,hashtag,32,energy,3.0,1.0,energy,0.0,nucleardisaster,energy,RS,C,RS,h20s1,Hashtag,20,Spatial,1
2,49792.0,hashtag,33,earthquake,3.0,0.0,energy,4.0,energy,tsunami,NEW,C,EC,h20s1,Hashtag,20,Spatial,1
